googleID,NIMI,kaviID
1,Peik Stenberg,elonet_henkilo_917868
1,Martin Paul,elonet_henkilo_1544715
1,Lena Labart,elonet_henkilo_710109
1,Sara Arnia,elonet_henkilo_1221940
1,Jonas Bergqvist,elonet_henkilo_906675
1,Kent Sjöman,elonet_henkilo_900005
1,Stan Saanila,elonet_henkilo_1394076
1,Lena Gärkman,elonet_henkilo_1544719
1,Anna Hultin,elonet_henkilo_242495
1,Sofie Häkkinen,elonet_henkilo_1544720
1,Emil Lindqvist,elonet_henkilo_1544721
1,Mauri Nieminen,elonet_henkilo_1503222
1,Erik Peltola,elonet_henkilo_1544722
1,Tom Saxman,elonet_henkilo_1525887
1,Lotta Taarasti,elonet_henkilo_1534902
1,Oscar Öhman,elonet_henkilo_1534259
1,Walter Öhman,elonet_henkilo_1544723
2,Anya Taylor-Joy,elonet_henkilo_1530190
2,Johnny Flynn,elonet_henkilo_1514907
2,Bill Nighy,elonet_henkilo_230286
2,Mia Goth,elonet_henkilo_1530647
2,Myra McFadyen,elonet_henkilo_1544788
2,Josh O'Connor,elonet_henkilo_1532752
3,Charlize Theron,elonet_henkilo_247030
3,Nicole Kidman,elonet_henkilo_225472
3,Margot Robbie,elonet_henkilo_1507605
3,John Lithgow,elonet_henkilo_225334
3,Allison Janney,elonet_henkilo_968602
3,Malcolm McDowell,elonet_henkilo_223772
3,Kate McKinnon,elonet_henkilo_1524783
3,Connie Britton,elonet_henkilo_246836
3,Liv Hewson,elonet_henkilo_1544411
4,Margot Robbie,elonet_henkilo_1507605
4,Mary Elizabeth Winstead,elonet_henkilo_1406576
4,Ewan McGregor,elonet_henkilo_244490
4,Jurnee Smollett,elonet_henkilo_737765
4,Rosie Perez,elonet_henkilo_239917
4,Bojana Novakovic,elonet_henkilo_1486253
4,Chris Messina,elonet_henkilo_1483921
5,August Diehl,elonet_henkilo_991254
5,Valerie Pachner,elonet_henkilo_1544418
5,Maria Simon,elonet_henkilo_1209338
5,Karin Neuhäuser,elonet_henkilo_1544424
5,Ulrich Matthes,elonet_henkilo_933201
6,Daniel Auteuil,elonet_henkilo_229511
6,Guillaume Canet,elonet_henkilo_929758
6,Doria Tillier,elonet_henkilo_1544861
6,Fanny Ardant,elonet_henkilo_227306
6,Pierre Arditi,elonet_henkilo_872304
6,Denis Podalydès,elonet_henkilo_1351836
7,Kotaro Daigo,elonet_henkilo_1544856
7,Nana Mori,elonet_henkilo_1544857
7,Shun Oguri,elonet_henkilo_1276972
7,Sei Hiraizumi,elonet_henkilo_1544858
7,Yuki Kaji,elonet_henkilo_1544859
8,Olga Temonen,elonet_henkilo_1085674
8,Pilvi Hämäläinen,elonet_henkilo_1425908
8,Ville Myllyrinne,elonet_henkilo_742027
8,Sebastian Rejman,elonet_henkilo_1510515
8,Mikael Rejström,elonet_henkilo_230689
8,Satu Silvo,elonet_henkilo_223605
8,Riitta Havukainen,elonet_henkilo_105856
8,Hilma Temonen,elonet_henkilo_1539284
8,Helga Temonen,elonet_henkilo_1539307
8,Inka Kallén,elonet_henkilo_1312047
8,Tommi Eronen,elonet_henkilo_243824
8,Torsti Temonen,elonet_henkilo_1539278
8,Juho Norilo,elonet_henkilo_1544800
8,Sami Ristiniemi,elonet_henkilo_1519315
8,Jussi Puhakka,elonet_henkilo_246122
8,Emma Lahti,elonet_henkilo_1526344
8,Sirkka Tuomala,elonet_henkilo_1544801
8,Anu Sinisalo,elonet_henkilo_242716
